Name,Status,District,"Population
Census
1991-03-01","Population
Census
2001-03-01","Population
Census
2011-03-01"
Ammapettai,Town Panchayat,Erode,...,"9,259","9,677"
Ammapettai,Town Panchayat,Thanjavur,...,"13,901","14,572"
Ammavarikuppam,Census Town,Thiruvallur,"7,552","9,384","10,750"
Ammoor,Town Panchayat,Vellore,...,"11,296","12,513"
Anaimalai,Town Panchayat,Coimbatore,...,"16,467","17,208"
Anaiyur,Municipality,Madurai,"17,659","38,310","63,917"
Anaiyur,Census Town,Virudhunagar,...,"19,898","24,436"
Anakaputhur,Municipality,Kanchipuram,"24,345","31,918","48,050"
Ananthapuram,Town Panchayat,Viluppuram,...,"6,138","6,892"
Andankoil East,Census Town,Karur,...,"19,779","19,779"
Andipalayam,Census Town,Tiruppur,...,"11,350","25,539"
Andipatti Jakkampatti,Town Panchayat,Theni,"19,153","23,002","27,287"
Anjugrammam (Anjugramam),Town Panchayat,Kanniyakumari,...,"9,353","10,982"
Annalagraharam,Census Town,Thanjavur,...,"6,266","11,129"
Annamalai Nagar,Town Panchayat,Cuddalore,"9,209","10,062","16,289"
Annavasal,Town Panchayat,Pudukkottai,...,"7,657","8,906"
Annur,Town Panchayat,Coimbatore,"13,851","18,052","20,079"
Anthiyur,Town Panchayat,Erode,"24,141","20,071","21,086"
Anuppankulam,Census Town,Virudhunagar,...,"10,990","13,526"
Appakudal,Town Panchayat,Erode,...,"9,522","10,610"
Arachalur,Town Panchayat,Erode,...,"12,343","12,034"
Arakandanallur,Town Panchayat,Viluppuram,"4,566","4,405","5,713"
Arakonam (Arakkonam),Municipality,Vellore,"71,928","78,686","78,395"
Aralvaimozhi,Town Panchayat,Kanniyakumari,...,"19,211","22,846"
Arani,Town Panchayat,Thiruvallur,"11,422","12,614","12,833"
Arani (Arni),Municipality,Tiruvannamalai,"54,898","60,815","63,671"
Aranthangi,Municipality,Pudukkottai,"30,327","34,134","40,814"
Arasiramani,Town Panchayat,Salem,...,"13,815","14,834"
Arasur,Census Town,Coimbatore,...,"8,689","11,510"
Aravakurichi,Town Panchayat,Karur,...,"11,519","12,412"
Aravankad (Aruvankadu),Township,The Nilgiris,"5,562","5,309","4,438"
Arcot,Municipality,Vellore,"45,205","49,953","55,955"
Arimalam,Town Panchayat,Pudukkottai,...,"7,819","8,948"
Ariyalur,Municipality,Ariyalur,"24,141","27,822","28,902"
Ariyappampalayam,Town Panchayat,Erode,...,"12,462","15,706"
Ariyur,Census Town,Vellore,...,"5,404","7,251"
Arumanai,Town Panchayat,Kanniyakumari,...,"15,071","16,283"
Arumbanur,Census Town,Madurai,...,...,"6,148"
Arumbavur,Town Panchayat,Perambalur,...,"11,695","12,467"
Arumuganeri,Town Panchayat,Thoothukkudi,"23,453","24,856","27,266"
Aruppukkottai,Municipality,Virudhunagar,"78,976","84,029","87,722"
Asaripallam,Town Panchayat,Kanniyakumari,...,"12,755","16,822"
Ashokapuram,Census Town,Coimbatore,"6,306","9,394","12,993"
Athani,Town Panchayat,Erode,...,"8,423","8,430"
Athanur,Town Panchayat,Namakkal,...,"9,377","9,827"
Athimarapatti,Census Town,Thoothukkudi,...,"18,767","22,218"
Athipatti,Census Town,Virudhunagar,...,...,"8,384"
Athipattu,Census Town,Thiruvallur,...,"8,513","11,034"
Athivilai,Census Town,Kanniyakumari,...,...,"7,401"
Athur,Town Panchayat,Thoothukkudi,...,"9,464","10,138"
Athur,Town Panchayat,Kanniyakumari,...,"11,744","11,910"
Attayampatti,Town Panchayat,Salem,"10,835","12,698","13,852"
Attur,Municipality,Salem,"55,667","57,519","61,793"
Avadattur,Census Town,Salem,...,"8,976","9,869"
Avadi,Municipality,Thiruvallur,"183,215","229,403","345,996"
Avalapalli,Census Town,Krishnagiri,...,"10,342","17,859"
Avalpoondurai,Town Panchayat,Erode,...,"11,243","11,789"
Avanashi (Avinashi),Town Panchayat,Tiruppur,"17,273","22,336","28,868"
Avaniapuram,Municipality,Madurai,"35,810","53,006","89,635"
A. Vellalapatti (Vellalapatti),Town Panchayat,Madurai,...,"7,088","8,325"
Ayacode,Census Town,Kanniyakumari,...,...,"8,874"
Ayakudi,Town Panchayat,Dindigul,...,"23,370","27,156"
Ayappakkam,Census Town,Thiruvallur,...,...,"29,511"
Aygudi,Town Panchayat,Tirunelveli,...,"12,930","15,129"
Ayothiapattinam,Town Panchayat,Salem,...,"9,941","11,517"
Ayyalur,Town Panchayat,Dindigul,...,"15,203","17,100"
Ayyampalayam,Town Panchayat,Dindigul,...,"12,163","12,175"
Ayyampettai,Census Town,Kanchipuram,"5,713","6,025","6,610"
Ayyampettai,Town Panchayat,Thanjavur,"13,092","14,212","16,263"
Ayyappanthangal,Census Town,Kanchipuram,...,...,"23,808"
Azhagiapandipuram (Azhagiapandiapuram),Town Panchayat,Kanniyakumari,...,"12,183","11,392"
Balakrishnampatti,Town Panchayat,Tiruchirappalli,...,"8,582","8,635"
Balakrishnapuram,Census Town,Dindigul,...,"19,568","25,627"
Balasamudram,Town Panchayat,Dindigul,...,"12,305","14,179"
Bargur,Town Panchayat,Krishnagiri,...,"12,582","16,366"
Batlagundu,Town Panchayat,Dindigul,...,"22,011","22,928"
Belur,Town Panchayat,Salem,...,"9,012","8,736"
Bhavani,Municipality,Erode,"35,196","38,778","39,225"
Bhavanisagar,Town Panchayat,Erode,"6,005","4,329","7,710"
Bhuvanagiri,Town Panchayat,Cuddalore,"17,605","19,879","21,956"
Bikketti,Town Panchayat,The Nilgiris,...,"6,774","5,864"
B.Mallapuram,Town Panchayat,Dharmapuri,...,"11,474","12,705"
B. Meenakshipuram,Town Panchayat,Theni,...,"7,227","7,846"
Bodinayakanur (Bodinayakkanur),Municipality,Theni,"66,500","73,410","75,675"
Boothapandi,Town Panchayat,Kanniyakumari,...,"14,743","15,931"
Boothipuram,Town Panchayat,Theni,...,"9,626","11,022"
Brahmana Periya Agraharam,Town Panchayat,Erode,"16,293","21,458","24,798"
Chakkarapalli,Census Town,Thanjavur,...,"6,082","6,227"
Chathirareddipatti,Census Town,Virudhunagar,...,...,"5,360"
Chatrapatti,Census Town,Virudhunagar,...,...,"6,948"
Chenbagaramanputhur,Census Town,Kanniyakumari,...,...,"5,028"
Chengalpattu,Municipality,Kanchipuram,"54,127","62,582","62,579"
Chengam,Town Panchayat,Tiruvannamalai,...,"23,223","26,980"
Chengappalli,Census Town,Tiruppur,...,...,"6,587"
Chennagiri,Census Town,Salem,...,"4,806","5,338"
Chennai [Madras],Municipal Corporation,Chennai,"3,841,396","4,343,645","4,646,732"
Chennasamudram,Town Panchayat,Erode,...,"7,342","8,111"
Chennimalai,Town Panchayat,Erode,"13,453","15,547","15,500"
Cheranmadevi,Town Panchayat,Tirunelveli,...,"16,306","18,327"
Chetpet (Chettupattu),Town Panchayat,Tiruvannamalai,...,"17,841","19,827"
Chettiarpatti,Town Panchayat,Virudhunagar,"11,497","12,993","17,520"
Chettinaickenpatti,Census Town,Dindigul,...,...,"17,701"
Chettipalayam,Census Town,Tiruppur,"19,379","20,184","37,620"
Chettipalayam,Town Panchayat,Coimbatore,...,"8,103","10,366"
Chettithangal,Census Town,Vellore,...,"6,042","7,780"
Chidambaram,Municipality,Cuddalore,"58,740","57,733","62,153"
Chidambaram Nm,Census Town,Cuddalore,...,"6,039","6,039"
Chinna Anuppanadi,Census Town,Madurai,"9,231","15,676","26,158"
Chinnakalayamputhur,Census Town,Dindigul,...,...,"5,162"
Chinnakkampalayam,Town Panchayat,Tiruppur,...,"9,694","11,546"
Chinnalapatti,Town Panchayat,Dindigul,"22,866","23,351","26,285"
Chinnamanur,Municipality,Theni,"35,397","38,360","42,305"
Chinnampalayam (Chinniampalayam),Census Town,Coimbatore,...,"7,086","8,695"
Chinnamudalaipatti,Census Town,Namakkal,...,...,"8,928"
Chinnasalem,Town Panchayat,Viluppuram,...,"19,516","25,106"
Chinnasekkadu,Town Panchayat,Thiruvallur,"8,421","9,738","12,396"
Chinnathadagam,Census Town,Coimbatore,...,"8,276","8,407"
Chinnavedampatti,Town Panchayat,Coimbatore,"7,754","10,981","20,122"
Chinniam palayam,Census Town,Coimbatore,...,...,"8,232"
Chithode,Town Panchayat,Erode,"6,993","7,704","8,550"
Chitlapakkam,Town Panchayat,Kanchipuram,...,"25,314","37,906"
Cholapuram,Town Panchayat,Thanjavur,...,"6,385","6,803"
Choozhal,Census Town,Kanniyakumari,...,...,"6,807"
Coimbatore,Municipal Corporation,Coimbatore,"816,321","930,882","1,050,721"
Colachel (Kolachal),Municipality,Kanniyakumari,"24,305","23,787","23,227"
Coonoor,Municipality,The Nilgiris,"48,003","50,196","45,494"
Courtalam (Courtallam),Town Panchayat,Tirunelveli,...,"2,368","2,089"
Cuddalore,Municipality,Cuddalore,"144,561","158,634","173,636"
Dalavaipatti,Census Town,Salem,...,"6,224","7,732"
Damalerimuthur,Census Town,Vellore,...,"4,688","5,250"
Dasanaickenpatti,Census Town,Salem,...,...,"5,857"
Denkanikottai,Town Panchayat,Krishnagiri,...,"19,328","24,252"
Desur,Town Panchayat,Tiruvannamalai,...,"5,163","4,597"
Devadanapatti,Town Panchayat,Theni,...,"13,951","19,285"
Devakottai,Municipality,Sivaganga,"38,265","40,497","51,865"
Devarshola,Town Panchayat,The Nilgiris,"19,762","23,164","24,954"
Devasthanam,Census Town,Vellore,...,...,"4,963"
Devikapuram,Census Town,Tiruvannamalai,...,"8,712","9,800"
Devipattinam,Census Town,Ramanathapuram,...,"10,166","11,599"
Dhalavoipuram,Census Town,Virudhunagar,"5,485","5,378","5,474"
Dhali,Town Panchayat,Tiruppur,...,"6,143","5,874"
Dhaliyur,Town Panchayat,Coimbatore,...,"9,658","11,500"
Dharamapuram,Census Town,Kanniyakumari,...,...,"17,476"
Dharapadavedu,Municipality,Vellore,"21,207","30,070","38,833"
Dharapuram,Municipality,Tiruppur,"48,393","64,984","56,007"
Dharasuram (Darasuram),Town Panchayat,Thanjavur,"11,057","13,032","15,326"
Dharmapuri,Municipality,Dharmapuri,"59,318","64,496","68,619"
Dindigul,Municipality,Dindigul,"182,477","196,955","207,327"
Doramangalam,Census Town,Salem,...,"4,164","5,322"
Dusi,Census Town,Tiruvannamalai,...,"5,116","5,577"
Edaganasalai,Town Panchayat,Salem,...,"29,635","33,245"
Edaicode (Edaikodu),Town Panchayat,Kanniyakumari,...,"23,453","25,378"
Edakalinadu,Town Panchayat,Kanchipuram,...,"25,793","28,172"
Edappadi,Municipality,Salem,"41,190","48,815","54,823"
Edayanchavadi,Census Town,Thiruvallur,...,"9,128","12,119"
Elathur,Town Panchayat,Erode,...,"7,678","7,827"
Elayirampannai,Census Town,Virudhunagar,"5,937","6,325","6,814"
Ellakkudy,Census Town,Tiruchirappalli,...,...,"16,244"
Ellandaikuttai,Census Town,Namakkal,...,"11,591","16,160"
Elumalai,Town Panchayat,Madurai,...,"14,130","15,746"
Eral,Town Panchayat,Thoothukkudi,"9,376","9,279","9,478"
Eranapuram,Census Town,Salem,...,"8,517","8,871"
Eraniel,Town Panchayat,Kanniyakumari,...,"9,305","10,375"
Eriodu (Eriyodu),Town Panchayat,Dindigul,...,"7,875","8,890"
Erode,Municipal Corporation,Erode,"159,323","150,541","157,101"
Erumaipatti,Town Panchayat,Namakkal,...,"9,301","12,085"
Erumapalayam,Census Town,Salem,...,...,"10,220"
Eruvadi,Town Panchayat,Tirunelveli,"13,633","14,755","18,067"
Ethapur,Town Panchayat,Salem,...,"10,058","10,968"
Ettayapuram,Town Panchayat,Thoothukkudi,...,"12,794","12,772"
Ettimadai,Town Panchayat,Coimbatore,...,"7,543","9,352"
Ezhudesam,Town Panchayat,Kanniyakumari,...,"18,741","24,657"
Ganapathipuram,Town Panchayat,Kanniyakumari,...,"13,711","14,598"
Gandhinagar (Katpadi Extn),Town Panchayat,Vellore,...,"9,487","9,114"
Gandipuram,Census Town,Kanniyakumari,...,...,"6,106"
Gangaikondan,Town Panchayat,Cuddalore,"8,809","10,483","6,434"
Gangavalli,Town Panchayat,Salem,...,"10,457","12,015"
Ganguvarpatti,Town Panchayat,Theni,...,"10,592","11,942"
Gerugambakkam,Census Town,Kanchipuram,...,...,"11,551"
Gingee,Town Panchayat,Viluppuram,...,"21,251","27,045"
Gobichettipalayam,Municipality,Erode,"48,364","55,158","59,523"
Gopalasamudram,Town Panchayat,Tirunelveli,...,"10,018","10,694"
Goundampalayam,Municipality,Coimbatore,...,"48,276","83,908"
Gudalur,Town Panchayat,The Nilgiris,"36,593","43,096","49,535"
Gudalur,Town Panchayat,Coimbatore,...,"21,966","38,859"
Gudalur,Town Panchayat,Theni,"32,603","35,531","41,915"
Gudiyatham,Municipality,Vellore,"83,232","91,452","91,558"
Gummidipoondi,Town Panchayat,Thiruvallur,...,"16,196","18,891"
Gunduuppalavadi,Census Town,Cuddalore,...,...,"7,281"
Hale-Dharmapuri,Census Town,Dharmapuri,...,...,"4,902"
Hanumanthampatti,Town Panchayat,Theni,...,"9,424","10,619"
Harur,Town Panchayat,Dharmapuri,"19,822","21,523","25,469"
Harveypatti,Town Panchayat,Madurai,"7,437","8,136","9,016"
Highways,Town Panchayat,Theni,...,"7,016","4,882"
Hosur,Municipality,Krishnagiri,"41,739","84,394","116,821"
Hubbathala,Census Town,The Nilgiris,"10,383","11,091","10,852"
Huligal,Town Panchayat,The Nilgiris,...,"17,054","12,960"
Idikarai,Town Panchayat,Coimbatore,...,"6,333","8,686"
Iduvai,Census Town,Tiruppur,...,"4,413","8,006"
Ilampillai (Elampillai),Town Panchayat,Salem,...,"10,615","11,797"
Ilanji,Town Panchayat,Tirunelveli,...,"9,425","10,282"
Ilayangudi (Ilaiyangudi),Town Panchayat,Sivaganga,...,"19,116","24,767"
Iluppaiyurani,Census Town,Thoothukkudi,...,"12,005","18,032"
Iluppur,Town Panchayat,Pudukkottai,"10,795","12,666","14,127"
Inam Karur,Municipality,Karur,"40,251","45,437","67,131"
Inam Maniyachi,Census Town,Thoothukkudi,...,"11,785","18,258"
Injambakkam,Census Town,Kanchipuram,...,"10,117","21,158"
Iravadanallur,Census Town,Madurai,...,"4,966","7,423"
Irugur,Town Panchayat,Coimbatore,...,"18,622","25,691"
Jaffrabad,Census Town,Vellore,"5,187","6,631","8,121"
Jagathala,Town Panchayat,The Nilgiris,"14,257","14,677","14,383"
Jalakandapuram,Town Panchayat,Salem,"12,831","14,077","16,184"
Jalladiampet,Census Town,Kanchipuram,...,"7,240","19,100"
Jambai,Town Panchayat,Erode,...,"15,011","16,522"
Jayankondam,Municipality,Ariyalur,...,"31,268","33,945"
Jolarpet,Municipality,Vellore,"23,719","27,167","29,662"
Kadambathur,Census Town,Thiruvallur,...,...,"11,235"
Kadambur,Town Panchayat,Thoothukkudi,...,"4,370","4,155"
Kadaparai,Census Town,Karur,...,"5,675","9,574"
Kadathur,Town Panchayat,Dharmapuri,...,"10,184","11,382"
Kadayal,Town Panchayat,Kanniyakumari,...,"19,183","21,665"
Kadayam,Census Town,Tirunelveli,...,...,"5,430"
Kadayampatti,Town Panchayat,Salem,...,"9,565","11,390"
Kadayanallur,Municipality,Tirunelveli,"68,819","75,612","90,364"
Kadhirvedu,Census Town,Thiruvallur,...,"4,870","7,580"
Kailasagiri,Census Town,Vellore,...,"8,141","9,421"
Kakkalur,Census Town,Thiruvallur,...,"8,942","14,528"
Kalakad (Kalakkad),Town Panchayat,Tirunelveli,...,"27,090","30,921"
Kalambur,Town Panchayat,Tiruvannamalai,...,"13,291","14,304"
Kalapatti,Town Panchayat,Coimbatore,...,"22,034","39,586"
Kalappanaickenpatti,Town Panchayat,Namakkal,...,"10,278","10,831"
Kalavai,Town Panchayat,Vellore,...,"9,763","9,773"
Kalinjur,Town Panchayat,Vellore,"11,369","16,853","19,828"
Kaliyakkavilai,Town Panchayat,Kanniyakumari,...,"13,311","15,625"
Kalladaikurichi,Town Panchayat,Tirunelveli,"25,768","25,746","26,398"
Kallakkurichi (Kallakurichi),Municipality,Viluppuram,"27,894","36,793","52,507"
Kallakudi (Kallakudy),Town Panchayat,Tiruchirappalli,...,"11,491","11,604"
Kallangudy,Census Town,Pudukkottai,...,...,"6,396"
Kallukuttam,Town Panchayat,Kanniyakumari,...,"16,989","19,093"
Kalparapatti,Census Town,Salem,...,...,"5,046"
Kalugumalai,Town Panchayat,Thoothukkudi,"13,122","14,088","14,738"
Kamayagoundanpatti,Town Panchayat,Theni,...,"12,211","16,134"
Kambainallur,Town Panchayat,Dharmapuri,...,"10,833","12,194"
Kambam (Cumbum),Municipality,Theni,"52,435","58,891","68,090"
Kamuthi,Town Panchayat,Ramanathapuram,...,"13,137","14,754"
Kanadukathan,Town Panchayat,Sivaganga,...,"4,796","5,275"
Kanakkampalayam (in: Udumalaipettai subdistrict),Census Town,Tiruppur,...,"12,218","16,459"
Kanakkampalayam (in: Tiruppur subdistrict),Census Town,Tiruppur,...,...,"12,160"
Kanam,Town Panchayat,Thoothukkudi,...,"3,401","3,134"
Kancheepuram (Kanchipuram),Municipality,Kanchipuram,"144,955","153,140","164,384"
Kandanur,Town Panchayat,Sivaganga,"6,289","6,455","7,696"
Kangeyam,Town Panchayat,Tiruppur,"21,259","28,258","32,147"
Kangeyanallur,Census Town,Vellore,...,"12,669","15,177"
Kaniyambadi,Census Town,Vellore,...,"8,382","9,597"
Kaniyur,Town Panchayat,Tiruppur,...,"5,836","6,180"
Kaniyur,Census Town,Coimbatore,...,"8,281","12,011"
Kanjikoil,Town Panchayat,Erode,...,"11,040","11,294"
Kannamangalam,Town Panchayat,Tiruvannamalai,...,"7,316","7,399"
Kannampalayam,Town Panchayat,Coimbatore,...,"11,940","15,868"
Kannanendal (Kannadendal),Census Town,Madurai,...,"16,013","31,095"
Kannankurichi,Town Panchayat,Salem,...,"14,994","19,765"
Kannanoor,Census Town,Kanniyakumari,...,...,"7,747"
Kannapalayam,Census Town,Thiruvallur,...,"2,776","4,704"
Kannivadi,Town Panchayat,Tiruppur,...,"4,412","4,385"
Kannivadi,Town Panchayat,Dindigul,...,"10,417","10,369"
Kanniyakumari (Kanyakumari),Town Panchayat,Kanniyakumari,"17,225","19,739","22,453"
Kappiyarai,Town Panchayat,Kanniyakumari,...,"13,368","15,998"
Karadipatti,Census Town,Madurai,...,"4,491","7,289"
Karaikkudi (Karaikudi),Municipality,Sivaganga,"71,965","86,596","106,714"
Karaipudur,Census Town,Tiruppur,...,"15,420","28,602"
Karamadai,Town Panchayat,Coimbatore,"20,065","27,817","35,166"
Karambakkam,Census Town,Thiruvallur,"10,467","14,950","21,376"
Karambakkudi,Town Panchayat,Pudukkottai,...,"12,056","14,626"
Kariamangalam,Town Panchayat,Dharmapuri,...,"12,035","13,511"
Kariapatti,Town Panchayat,Virudhunagar,...,"13,981","18,191"
Karugampattur,Census Town,Vellore,...,"5,277","6,343"
Karukkalvadi,Census Town,Salem,...,"7,972","12,052"
Karumandi Chellipalayam,Town Panchayat,Erode,...,"20,072","23,868"
Karumathampatti,Town Panchayat,Coimbatore,...,"26,477","35,062"
Karungal,Town Panchayat,Kanniyakumari,...,"15,952","16,691"
Karunguzhi,Town Panchayat,Kanchipuram,...,"11,372","12,485"
Karuppur,Town Panchayat,Salem,...,"13,880","13,967"
Karur,Municipality,Karur,"73,418","76,336","70,980"
Kasinayagampatti,Census Town,Vellore,...,...,"4,779"
Kasipalayam (E),Municipality,Erode,"41,304","52,369","73,425"
Kasipalayam (G) (Kasipalayam-Gobi),Town Panchayat,Erode,...,"8,570","9,093"
Katpadi,Town Panchayat,Vellore,...,"14,912","28,797"
Kattathurai,Census Town,Kanniyakumari,...,...,"17,271"
Kattiganapalli (Kathujuganapalli),Census Town,Krishnagiri,...,"15,962","22,714"
Kattimancode,Census Town,Kanniyakumari,...,...,"8,541"
Kattivakkam (Kathivakkam),Municipality,Thiruvallur,"27,169","32,590","36,617"
Kattumannarkoil,Town Panchayat,Cuddalore,...,"22,426","27,294"
Kattupakkam,Census Town,Thiruvallur,...,...,"23,910"
Kattuputhur,Town Panchayat,Tiruchirappalli,...,"11,118","10,933"
Kaveripakkam,Town Panchayat,Vellore,"12,756","12,545","14,583"
Kaveripattinam,Town Panchayat,Krishnagiri,"14,719","14,378","15,006"
Kayalpattinam,Municipality,Thoothukkudi,"24,428","32,664","40,588"
Kayatharu,Town Panchayat,Thoothukkudi,...,"9,214","10,400"
Keelakarai (Kilakarai),Municipality,Ramanathapuram,"29,928","30,412","38,355"
Keelamanjakudi,Census Town,Pudukkottai,...,...,"6,274"
Keeramangalam,Town Panchayat,Pudukkottai,...,"7,756","9,357"
Keeranur,Town Panchayat,Dindigul,"6,183","6,299","7,200"
Keeranur,Town Panchayat,Pudukkottai,"8,413","10,509","11,667"
Keeripatti,Town Panchayat,Salem,...,"9,164","10,208"
Keezhkulam (Kilkulam),Town Panchayat,Kanniyakumari,...,"17,345","17,327"
Kelamangalam,Town Panchayat,Krishnagiri,...,"11,052","13,321"
Kembainaickenpalayam,Town Panchayat,Erode,...,"10,308","11,103"
Kethi (Ketti),Town Panchayat,The Nilgiris,...,"24,534","23,229"
Kila Ambur,Census Town,Tirunelveli,...,"5,784","6,233"
Kilampadi,Town Panchayat,Erode,...,"6,343","6,422"
Kilapavoor (Keezhapavur),Town Panchayat,Tirunelveli,...,"20,422","22,231"
Kilkunda,Town Panchayat,The Nilgiris,...,"10,163","8,886"
Killai,Town Panchayat,Cuddalore,...,"9,899","13,608"
Killiyoor (Killiyur),Town Panchayat,Kanniyakumari,...,"19,273","20,938"
Kilmanavur,Census Town,Vellore,...,"4,239","5,145"
Kilpennathur (Kizh-Pennathur),Town Panchayat,Tiruvannamalai,...,"12,468","13,718"
Kilpudupakkam,Census Town,Tiruvannamalai,...,"5,554","6,912"
Kilvaithinankuppam,Census Town,Vellore,...,"4,642","5,321"
Kilvelur,Town Panchayat,Nagapattinam,...,"7,425","8,272"
Kinathukadavu,Town Panchayat,Coimbatore,...,"8,651","8,653"
K.Madapur,Census Town,Coimbatore,...,"4,469","5,626"
Kodaikanal,Municipality,Dindigul,"27,423","32,969","36,501"
Kodavasal (Kudavasal),Town Panchayat,Thiruvarur,...,"13,256","14,639"
Kodivalasa,Census Town,Thiruvallur,...,"7,447","9,024"
Kodumudi,Town Panchayat,Erode,...,"12,664","13,225"
Koilambakkam,Census Town,Kanchipuram,...,...,"27,374"
Koilpalayam,Census Town,Coimbatore,...,...,"5,025"
Kolappalur,Town Panchayat,Erode,...,"9,803","9,607"
Kolathupalayam,Town Panchayat,Tiruppur,...,"17,438","17,819"
Kolathur,Town Panchayat,Salem,...,"10,254","12,748"
Kollancode (Kollankodu),Town Panchayat,Kanniyakumari,...,"34,425","38,385"
Kollankoil,Town Panchayat,Erode,...,"8,754","9,196"
Komaralingam,Town Panchayat,Tiruppur,...,"11,769","13,642"
Kombai,Town Panchayat,Theni,...,"12,842","15,960"
Konavattam,Census Town,Vellore,"6,975","9,359","11,472"
Kondalampatti,Census Town,Salem,"11,230","16,808","20,318"
Kondappanaickenpatti,Census Town,Salem,...,"6,892","6,892"
Kondasamudram,Census Town,Vellore,...,...,"21,335"
Kondichettipatti,Census Town,Namakkal,...,"5,584","10,300"
Kondur,Census Town,Cuddalore,...,...,"12,506"
Konerikuppam,Census Town,Kanchipuram,...,...,"11,406"
Konganapuram,Town Panchayat,Salem,...,"8,084","9,286"
Kooraikundu,Census Town,Virudhunagar,"11,238","19,669","22,361"
Koothappar,Town Panchayat,Tiruchirappalli,...,"17,056","15,943"
Koradacheri,Town Panchayat,Thiruvarur,...,"5,976","6,450"
Kosavampatti,Census Town,Namakkal,...,...,"10,356"
Kotagiri,Town Panchayat,The Nilgiris,"29,557","29,192","28,207"
Kothanallur (Kothinallur),Town Panchayat,Kanniyakumari,...,"15,880","17,662"
Kottagoundampatty,Census Town,Salem,...,...,"7,891"
Kottaiyur,Town Panchayat,Sivaganga,"8,318","10,633","14,766"
Kottakuppam,Town Panchayat,Viluppuram,...,"24,075","31,726"
Kottaram,Town Panchayat,Kanniyakumari,...,"9,919","11,055"
Kottivakkam,Census Town,Kanchipuram,"11,856","13,884","20,217"
Kottur,Town Panchayat,Coimbatore,...,"25,261","26,627"
Kovalam (Covelong),Census Town,Kanchipuram,...,...,"8,124"
Kovilpatti,Municipality,Thoothukkudi,"78,834","87,450","95,057"
Kovur,Census Town,Kanchipuram,...,"5,948","10,961"
Krishnagiri,Municipality,Krishnagiri,"60,315","64,587","71,323"
Krishnarayapuram,Town Panchayat,Karur,...,"10,533","10,792"
Krishnasamudram,Census Town,Tiruchirappalli,...,"9,215","13,146"
Kuchanur,Town Panchayat,Theni,...,"6,055","7,024"
Kuhalur,Town Panchayat,Erode,...,"11,684","11,753"
Kulappuram,Census Town,Kanniyakumari,...,...,"7,677"
Kulasekaram (Kulasekarapuram),Town Panchayat,Kanniyakumari,...,"16,351","17,267"
Kulathur (Kulathoor),Census Town,Tiruchirappalli,...,"9,300","11,083"
Kulithalai,Municipality,Karur,"23,996","26,161","27,910"
Kullursandai,Census Town,Virudhunagar,...,"4,653","5,383"
Kumaragiri,Census Town,Thoothukkudi,...,"10,997","13,344"
Kumarapalayam (Komarapalayam),Municipality,Namakkal,"57,672","65,868","71,594"
Kumarapuram,Town Panchayat,Kanniyakumari,...,"13,938","14,728"
Kumbakonam,Municipality,Thanjavur,"139,483","139,954","140,156"
